"responses","question_order","trial_type","trial_index","rt","time_elapsed","condition","response","prompt","color_rgb","concept","time_finished","rowID","color_index","concept_category","subject_id","workerID"
"","","html-keyboard-response",0,0.0,12.0,0,0.0,"","","",0.0,522,0,"","o4pwsj92hkkb2z783lue","53134"
"","","call-function",1,0.0,14.0,0,0.0,"","","",0.0,523,0,"","o4pwsj92hkkb2z783lue","53134"
"{""Consent"":[""<strong>I consent</strong>""]}","[0]","survey-multi-selectMAS",2,7322.04,7340.0,0,0.0,"","","",0.0,524,0,"","o4pwsj92hkkb2z783lue","53134"
"","","html-button-response",3,1309.23,8653.0,0,0.0,"","","",0.0,525,0,"","o4pwsj92hkkb2z783lue","53134"
"{""Hand"":[""Right""]}","[0]","survey-multi-select",4,2259.74,10916.0,0,0.0,"","","",0.0,526,0,"","o4pwsj92hkkb2z783lue","53134"
"{""Race/Ethnic"":[""White"",""Black"",""Asian"",""Pacific Islander"",""Other""],""Hispanic/Latino"":[""Hispanic or Latino"",""Not Hispanic or Latino""]}","[0,1]","survey-multi-select",5,6336.87,17261.0,0,0.0,"","","",0.0,527,0,"","o4pwsj92hkkb2z783lue","53134"
"{""Gender"":""test"",""Age"":""test"",""Languages"":""test""}","","survey-text",6,22064.1,39339.0,0,0.0,"","","",0.0,528,0,"","o4pwsj92hkkb2z783lue","53134"
"","","image-slider-responseMAS",7,6655.15,45997.0,0,0.0,"<p style='width:1000px'>In this experiment yo","","",0.0,529,0,"","o4pwsj92hkkb2z783lue","53134"
"","","image-slider-response_InstrMAS",8,4823.35,51327.0,0,0.0,"","","",0.0,530,0,"","o4pwsj92hkkb2z783lue","53134"
"","","html-button-response",9,1254.31,52583.0,0,0.0,"","","",0.0,531,0,"","o4pwsj92hkkb2z783lue","53134"
"","","image-slider-responseMAS",10,2101.75,54687.0,0,80.0,"carrot","bcbd22","vegetables",1604690000000.0,532,16,"","o4pwsj92hkkb2z783lue","53134"
"","","image-slider-responseMAS",11,1692.46,56887.0,0,69.0,"carrot","c5b0d5","vegetables",1604690000000.0,533,9,"","o4pwsj92hkkb2z783lue","53134"
"","","image-slider-responseMAS",12,1147.08,58539.0,0,51.0,"carrot","8c564b","vegetables",1604690000000.0,534,10,"","o4pwsj92hkkb2z783lue","53134"
"","","image-slider-responseMAS",13,1856.69,60898.0,0,30.0,"carrot","d62728","vegetables",1604690000000.0,535,6,"","o4pwsj92hkkb2z783lue","53134"
"","","image-slider-responseMAS",14,2012.72,63415.0,0,22.0,"carrot","f7b6d2","vegetables",1604690000000.0,536,13,"","o4pwsj92hkkb2z783lue","53134"
"","","image-slider-responseMAS",15,9389.51,73313.0,0,63.0,"carrot","2ca02c","vegetables",1604690000000.0,537,4,"","o4pwsj92hkkb2z783lue","53134"
"","","image-slider-responseMAS",16,41231.1,115049.0,0,47.0,"carrot","dbdb8d","vegetables",1604690000000.0,538,17,"","o4pwsj92hkkb2z783lue","53134"
"","","image-slider-responseMAS",17,1933.09,117488.0,0,-137.0,"carrot","1f77b4","vegetables",1604690000000.0,539,0,"","o4pwsj92hkkb2z783lue","53134"
"","","image-slider-responseMAS",18,1352.02,119345.0,0,-109.0,"carrot","aec7e8","vegetables",1604690000000.0,540,1,"","o4pwsj92hkkb2z783lue","53134"
"","","image-slider-responseMAS",19,1157.6,121005.0,0,137.0,"carrot","ffbb78","vegetables",1604690000000.0,541,3,"","o4pwsj92hkkb2z783lue","53134"
"","","image-slider-responseMAS",20,1269.44,122777.0,0,-100.0,"carrot","c49c94","vegetables",1604690000000.0,542,11,"","o4pwsj92hkkb2z783lue","53134"
"","","image-slider-responseMAS",21,2583.64,125865.0,0,69.0,"carrot","17becf","vegetables",1604690000000.0,543,18,"","o4pwsj92hkkb2z783lue","53134"
"","","image-slider-responseMAS",22,3135.36,129503.0,0,39.0,"carrot","9edae5","vegetables",1604690000000.0,544,19,"","o4pwsj92hkkb2z783lue","53134"
"","","image-slider-responseMAS",23,3340.85,133346.0,0,84.0,"carrot","c7c7c7","vegetables",1604690000000.0,545,15,"","o4pwsj92hkkb2z783lue","53134"
