"","concepts","c1_pred","c2_pred","c3_pred","c4_pred","c5_pred","c6_pred"
"1","above","0.0610782006406272","-0.220018992762324","0.372738231295398","-0.0715666359222974","-0.0073394162669427","-0.161279372985388"
"2","angry","-0.0194766294733334","0.362858735063915","-0.0155947759562121","-0.0498585126651081","0.0413124882054836","-0.099511104293543"
"3","beach","-0.167134328067314","0.0452685742671112","-0.361577293987135","0.0123461123217445","-0.0827936874555598","-0.081211121380231"
"4","below","-0.491766348544687","-0.368783763002308","0.0975929199369883","-0.097645011163959","-0.00035679656962864","-0.0272672554582647"
"5","beside","-0.289640585278239","-0.248298807443604","-0.00990285635602503","-0.0218063345300023","0.00132116663963219","-0.12437318738715"
"6","blueberry","-0.120411430321384","0.813338925883617","-0.250424741231008","0.0169295754501607","0.00324813082417754","0.238175935131331"
"7","dawn","0.187171870804046","-0.176233735742865","0.231948815914474","0.0329007606095553","-0.0130220110045722","-0.407510382812322"
"8","day","-0.0360770403261134","-0.271746286037554","-0.0422979622260548","0.00433670640928619","0.00207156677402531","-0.0756360017671662"
"9","disgust","0.424381692258738","0.298531473586774","0.226673943604718","0.136126484236629","-0.0323436248511158","0.0207556846046034"
"10","dress","0.0611822686620509","-0.257440484510337","0.199652611789339","-0.237296344305249","0.0633769668370404","0.198842653922295"
"11","dusk","0.0707629043665515","-0.0198126546191884","0.359937820401886","0.198479264481355","0.0448309648047512","-0.267622661895093"
"12","far","-0.103734273556853","0.0473000716610151","0.165767069598089","-0.0736576399006736","-0.000740499077609229","-0.0357992639939302"
"13","fearful","0.149024174686676","0.378080886880226","0.283627798498805","-0.0117452658588641","0.00292634754688743","-0.094919884871167"
"14","field","-0.0816238114546882","-0.430822981222564","0.0101806098970936","0.00154334022583897","-0.0148956854305534","0.0533350550861079"
"15","happy","0.0370221994021605","-0.241325788283507","-0.0100136274521577","-0.0125529366053458","0.0136135538040596","0.0360269257698063"
"16","lemon","-0.0597431199429039","0.641280837166794","-0.288163503791461","-0.00887447139488753","-0.154597743068165","0.0784288934859922"
"17","mango","-0.199642839768022","0.702653477616129","-0.140575406695151","0.00276832113228141","-0.175198855172209","0.182010386785906"
"18","near","-0.0183412159963134","-0.176059725848133","0.32557635069232","-0.155387460732095","0.0112219516519536","-0.147968722028245"
"19","night","-0.27746808236668","-0.578394262916065","-0.0930915059099363","0.0197480305370922","0.00992856105329467","-0.119111816605536"
"20","noon","-0.196396029674076","-0.122784524936209","0.260133499724796","0.0299675560660319","-0.0112498854866823","-0.142270962263839"
"21","ocean","-0.286453979810336","-0.145462337783499","-0.378740466481397","0.0255625463448423","0.0487422222190744","-0.0949437861799913"
"22","pants","0.310758314461539","-0.523508911779893","0.445219578092656","-0.0233630452654279","0.0237472538042344","0.358817796830444"
"23","sad","-0.106621931051507","-0.0176531299235762","0.359488841294482","0.0210008228695643","-0.00657935394327546","-0.0520020977072067"
"24","shirt","0.438205014394334","-0.310907123176599","-0.123585208567427","-0.0115418212780053","0.0138308897137408","0.373062488295894"
"25","shoes","0.285166895962705","-0.224401046381825","0.0583841567125392","0.0280593525496908","0.0272084328695752","0.461243610894943"
"26","sky","-0.0521408386663354","-0.369576897977496","-0.0438481412497213","-0.00930218141050412","0.00503711065679784","-0.162489764245854"
"27","socks","0.668879048077806","0.0613878465375546","-0.016430675957698","0.0525051216226959","0.00976224812954642","0.327692898117047"
"28","strawberry","0.161088734916691","0.421274250316889","-0.505135250238038","0.0506480331854153","0.0164368312446726","-0.135512854054278"
"29","sunset","0.0142134733237174","-0.286652909624942","-0.0781506400444277","-0.0379289651300216","-0.00989901882392063","-0.189958455991319"
"30","watermelon","-0.038810390019408","0.776767505809063","-0.572122313003257","0.181655488669838","0.023632888314601","0.00845743277919502"
